"","C1","C2","C3","C4","C5","C6","K1","K2","K3","K4","K5","K6","R1","R2","R3","R4","R5","R6","SC1","SC2","SC3","SC4","SC5","SC6","SK1","SK2","SK3","SK4","SK5","SK6","SR1","SR3","SR4","SR5","SR6"
"ASV_1053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,5,0,4,0,5,9,4,10,11
"ASV_1054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,11,0,0,0,0,0,0
"ASV_1058",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,4,0,10,0,0,0,15,0,23,2,0,0,0
"ASV_1059",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,4,12,0,0,16,24,3,0,10,0,0
"ASV_1062",0,0,0,0,0,0,0,0,13,15,0,0,0,0,0,0,0,0,0,9,0,8,1,0,0,7,2,0,0,0,0,6,14,0,0
"ASV_1063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,2,4,0,2,0,0,6,0,4,4,5,0,7
"ASV_1065",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,23,0,0,0,0,13,0,15,0,0,0,3
"ASV_1066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,26,0,4,14,2,13,0,6,0
"ASV_1067",0,0,2,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,14,18,0,0,19,0,0,0,1,0,1,5,0,0,2
"ASV_1069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,10,7,0,2,0,5,3,9,12,13,8,5,7,7,0
"ASV_1074",0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,7,0,0,0,24,0,0,0,0,0,4,0,0,18,0,0
"ASV_1075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,26,13,0,0,22,0
"ASV_1079",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"ASV_1080",16,0,9,11,0,0,0,0,17,0,7,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1083",0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,20,0
"ASV_1084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,0,12,0,0,17,0,0,0,0,0,0,0,0,20
"ASV_1085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,5,11,0,0,21,0,10,0,9,6,0,0,3
"ASV_1086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,43,0,0,0,0,0,0,0,0,0,0
"ASV_1090",0,1,14,0,2,0,7,0,6,1,6,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
