"","ID","prev","RA.mean","log.mean","filtN","ra","prevN","condition"
"ASV_3040","ASV_3040",0.333333333333333,4.66532357385459e-05,-4.3311182294167,"Retain","Discard","Discard","Both_Fail"
"ASV_3048","ASV_3048",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_3049","ASV_3049",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_3059","ASV_3059",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_3076","ASV_3076",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_3077","ASV_3077",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_3083","ASV_3083",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_3094","ASV_3094",0.333333333333333,3.08917060365927e-05,-4.51015810653123,"Retain","Discard","Discard","Both_Fail"
"ASV_3113","ASV_3113",0.833333333333333,6.03867310550274e-05,-4.21905847963475,"Retain","Discard","Discard","Both_Fail"
"ASV_3177","ASV_3177",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_3268","ASV_3268",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_3285","ASV_3285",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_3289","ASV_3289",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_3291","ASV_3291",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_3303","ASV_3303",0.333333333333333,5.68807961342401e-05,-4.24503433361641,"Retain","Discard","Discard","Both_Fail"
"ASV_3359","ASV_3359",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_3411","ASV_3411",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_3455","ASV_3455",1,0.000101780458188536,-3.99233559838014,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_3501","ASV_3501",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_3590","ASV_3590",0.5,0.00010895749851858,-3.96274287598973,"Retain","Discard","Discard","Both_Fail"
"ASV_3628","ASV_3628",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
